project_name,station,일시,유효시간,longitude,latitude,수심(m),수심(text),전체수심(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],year,month,quarter,year_quarter
해양환경측정망,삼척연안H1_항만,2020-08-16 10:26:00,Minute,129.1916667,37.43555556,8.0,저층,8.0,134.414,32.6219,20.9749,1.166,9.5,8.96187,8.16,103.824,0.7,2.139,5.194,,23.338,1.46987,17.444,10.137,2020,8,3,20203
해양환경측정망,삼척연안H2_항만,2020-02-13 10:40:00,Minute,129.3444444,37.22777778,0.0,표층,5.0,181.328,34.1991,12.7653,0.608,3.7,8.3147,8.18,327.404,3.934,15.283,93.058,5.0,107.128,1.47825,10.136,27.342,2020,2,1,20201
해양환경측정망,삼척연안H2_항만,2020-02-13 10:40:00,Minute,129.3444444,37.22777778,5.0,저층,5.0,204.988,34.2084,12.6097,0.58,3.9,8.44,8.19,315.812,3.542,15.252,91.224,,103.656,1.33312,8.89,22.413,2020,2,1,20201
해양환경측정망,삼척연안H2_항만,2020-08-16 13:23:00,Minute,129.3444444,37.22777778,0.0,표층,5.5,156.268,30.6634,24.1739,3.1,12.55,9.46729,8.19,95.536,1.078,0.062,5.432,5.5,32.452,1.55307,25.942,12.338,2020,8,3,20203
해양환경측정망,삼척연안H2_항만,2020-08-16 13:23:00,Minute,129.3444444,37.22777778,5.5,저층,5.5,132.51,32.0883,21.7993,2.58,4.9,9.28308,8.17,102.2,0.826,0.744,4.354,,14.728,1.32011,9.548,20.708,2020,8,3,20203
해양환경측정망,서귀포연안1_연안,2020-02-20 08:37:00,Minute,126.6611111,33.2625,0.0,표층,30.8,103.236,34.483,16.3336,0.331,25.05,8.65722,8.29,193.116,3.92,7.626,52.122,12.5,58.94,1.1256,2.898,12.307,2020,2,1,20201
해양환경측정망,서귀포연안1_연안,2020-02-20 08:37:00,Minute,126.6611111,33.2625,30.8,저층,30.8,111.958,34.4828,16.3377,0.251,34.8,8.73244,8.28,192.22,4.27,7.037,51.534,,60.326,1.65624,4.522,13.299,2020,2,1,20201
해양환경측정망,서귀포연안1_연안,2020-05-18 14:07:00,Minute,126.6611111,33.2625,0.0,표층,29.0,150.696,33.5184,17.4005,1.804,9.4,9.62708,8.43,208.964,0.0,1.519,26.068,4.5,31.934,1.51067,5.866,18.538,2020,5,2,20202
해양환경측정망,서귀포연안1_연안,2020-05-18 14:07:00,Minute,126.6611111,33.2625,29.0,저층,29.0,135.884,33.8245,16.5403,5.94,9.4,9.40031,8.43,158.76,0.014,0.124,13.79,,16.94,1.47771,3.136,18.228,2020,5,2,20202
해양환경측정망,서귀포연안1_연안,2020-08-19 15:48:00,Minute,126.6611111,33.2625,0.0,표층,28.0,168.882,31.1123,29.3287,2.08,5.35,7.81754,8.51,212.576,0.798,0.124,13.132,7.8,17.948,2.17536,4.018,9.858,2020,8,3,20203
해양환경측정망,서귀포연안1_연안,2020-08-19 15:48:00,Minute,126.6611111,33.2625,28.0,저층,28.0,116.046,33.1695,21.6365,2.08,3.8,7.06597,8.39,88.172,1.428,0.589,11.788,,13.93,1.77984,0.714,12.152,2020,8,3,20203
해양환경측정망,서귀포연안1_연안,2020-11-09 17:23:00,Minute,126.6611111,33.2625,0.0,표층,30.0,94.262,34.3011,21.7286,0.922,3.0,7.71908,8.4,236.992,1.134,4.278,36.414,7.7,40.81,0.795802,3.262,10.757,2020,11,4,20204
해양환경측정망,서귀포연안1_연안,2020-11-09 17:23:00,Minute,126.6611111,33.2625,30.0,저층,30.0,95.69,34.274,21.8046,1.038,4.85,7.64293,8.34,158.816,1.54,9.951,22.12,,33.712,1.37607,10.052,10.788,2020,11,4,20204
해양환경측정망,서귀포연안2_연안,2020-02-19 08:58:00,Minute,126.4125,33.22944444,0.0,표층,24.0,112.77,34.5528,16.3426,0.313,19.95,7.93819,8.57,187.656,4.522,8.339,53.578,11.0,60.97,1.70448,2.87,13.082,2020,2,1,20201
해양환경측정망,서귀포연안2_연안,2020-02-19 08:58:00,Minute,126.4125,33.22944444,24.0,저층,24.0,155.778,34.5515,16.3355,0.206,19.65,8.06163,8.44,181.692,4.312,7.595,51.618,,59.64,1.41504,3.71,13.175,2020,2,1,20201
해양환경측정망,서귀포연안2_연안,2020-05-18 05:30:00,Minute,126.4125,33.22944444,0.0,표층,24.0,120.918,33.7202,17.4042,2.18,3.65,8.55152,8.44,243.684,0.658,1.209,32.662,8.0,46.018,1.64251,12.698,11.005,2020,5,2,20202
